日本語名,in English
BIZ UDPゴシック,BIZ UDPGothic
BIZ UDP明朝 Medium,BIZ UDPMincho Medium
BIZ UDゴシック,BIZ UDGothic
BIZ UD明朝 Medium,BIZ UDMincho Medium
HGP創英角ゴシックUB,HGPSoeiKakugothicUB
HGP創英角ポップ体,HGPSoeiKakupoptai
HGP創英プレゼンスEB,HGPSoeiPresenceEB
HGP教科書体,HGPKyokashotai
HGP明朝B,HGPMinchoB
HGP明朝E,HGPMinchoE
HGP行書体,HGPGyoshotai
HGPゴシックE,HGPGothicE
HGPゴシックM,HGPGothicM
HGS創英角ゴシックUB,HGSSoeiKakugothicUB
HGS創英角ポップ体,HGSSoeiKakupoptai
HGS創英プレゼンスEB,HGSSoeiPresenceEB
HGS教科書体,HGSKyokashotai
HGS明朝B,HGSMinchoB
HGS明朝E,HGSMinchoE
HGS行書体,HGSGyoshotai
HGSゴシックE,HGSGothicE
HGSゴシックM,HGSGothicM
HG丸ゴシックM-PRO,HGMaruGothicMPRO
HG創英角ゴシックUB,HGSoeiKakugothicUB
HG創英角ポップ体,HGSoeiKakupoptai
HG創英プレゼンスEB,HGSoeiPresenceEB
HG教科書体,HGKyokashotai
HG明朝B,HGMinchoB
HG明朝E,HGMinchoE
HG正楷書体-PRO,HGSeikaishotaiPRO
HG行書体,HGGyoshotai
HGゴシックE,HGGothicE
HGゴシックM,HGGothicM
UD デジタル 教科書体 N-B,UD Digi Kyokasho N-B
UD デジタル 教科書体 N-R,UD Digi Kyokasho N-R
UD デジタル 教科書体 NK-B,UD Digi Kyokasho NK-B
UD デジタル 教科書体 NK-R,UD Digi Kyokasho NK-R
UD デジタル 教科書体 NP-B,UD Digi Kyokasho NP-B
UD デジタル 教科書体 NP-R,UD Digi Kyokasho NP-R
ヒラギノ角ゴシック,Hiragino Sans
メイリオ,Meiryo
游ゴシック,Yu Gothic
游ゴシック Light,Yu Gothic Light
游ゴシック Medium,Yu Gothic Medium
游明朝,Yu Mincho
游明朝 Demibold,Yu Mincho Demibold
游明朝 Light,Yu Mincho Light
ＭＳ Ｐゴシック,MS PGothic
ＭＳ Ｐ明朝,MS PMincho
ＭＳ ゴシック,MS Gothic
ＭＳ 明朝,MS Mincho
